variable,description,unit,dimensions,code_variable,in_history,in_analysis,in_daily,in_monthly,in_diurnal,in_yearly,in_tower,glob_id,info_string
DMEAN_LEAF_WATER_IM2_PY,Daily mean - Leaf surface water,kg/m2,npolygons,cgrid%dmean_leaf_water_im2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_LEAF_WATER_IM2_PY    :11://trim(dail_keys)
DMEAN_LEAF_HCAP_PY,Daily mean - Leaf heat capacity,J/m2/K,npolygons,cgrid%dmean_leaf_hcap,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_LEAF_HCAP_PY         :11://trim(dail_keys)
DMEAN_LEAF_VPDEF_PY,Daily mean - Leaf vapour pressure deficit,Pa,npolygons,cgrid%dmean_leaf_vpdef,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_LEAF_VPDEF_PY        :11://trim(dail_keys)
DMEAN_LEAF_TEMP_PY,Daily mean - Leaf temperature,K,npolygons,cgrid%dmean_leaf_temp,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_LEAF_TEMP_PY         :11://trim(dail_keys)
DMEAN_LEAF_FLIQ_PY,Daily mean - Liquid fraction,NA,npolygons,cgrid%dmean_leaf_fliq,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_LEAF_FLIQ_PY         :11://trim(dail_keys)
DMEAN_LEAF_GSW_PY,Daily mean - Stomatal conductance,kg/m2leaf/s,npolygons,cgrid%dmean_leaf_gsw,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_LEAF_GSW_PY          :11://trim(dail_keys)
DMEAN_LEAF_GBW_PY,Daily mean - Leaf boundary layer conductance,kg/m2leaf/s,npolygons,cgrid%dmean_leaf_gbw,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_LEAF_GBW_PY          :11://trim(dail_keys)
DMEAN_WOOD_ENERGY_PY,Daily mean - Wood internal energy,J/m2,npolygons,cgrid%dmean_wood_energy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_WOOD_ENERGY_PY       :11://trim(dail_keys)
DMEAN_WOOD_WATER_PY,Daily mean - Wood surface water,kg/m2,npolygons,cgrid%dmean_wood_water,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_WOOD_WATER_PY        :11://trim(dail_keys)
DMEAN_WOOD_WATER_IM2_PY,Daily mean - Wood internal water,kg/m2,npolygons,cgrid%dmean_wood_water_im2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_WOOD_WATER_IM2_PY    :11://trim(dail_keys)
DMEAN_WOOD_HCAP_PY,Daily mean - Wood heat capacity,J/m2/K,npolygons,cgrid%dmean_wood_hcap,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_WOOD_HCAP_PY         :11://trim(dail_keys)
DMEAN_WOOD_TEMP_PY,Daily mean - Wood temperature,K,npolygons,cgrid%dmean_wood_temp,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_WOOD_TEMP_PY         :11://trim(dail_keys)
DMEAN_WOOD_FLIQ_PY,Daily mean - Liquid fraction,NA,npolygons,cgrid%dmean_wood_fliq,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_WOOD_FLIQ_PY         :11://trim(dail_keys)
DMEAN_WOOD_GBW_PY,Daily mean - Wood boundary layer conductance,kg/m2wood/s,npolygons,cgrid%dmean_wood_gbw,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_WOOD_GBW_PY          :11://trim(dail_keys)
DMEAN_FS_OPEN_PY,Daily mean - Net stress factor,NA,npolygons,cgrid%dmean_fs_open,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_FS_OPEN_PY           :11://trim(dail_keys)
DMEAN_FSW_PY,Daily mean - Moisture stress,NA,npolygons,cgrid%dmean_fsw,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_FSW_PY               :11://trim(dail_keys)
DMEAN_FSN_PY,Daily mean - Nitrogen stress,NA,npolygons,cgrid%dmean_fsn,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_FSN_PY               :11://trim(dail_keys)
DMEAN_A_OPEN_PY,Daily mean - Assimilation rate (no soil moist. stress),umol/m2/s,npolygons,cgrid%dmean_a_open,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_A_OPEN_PY          :11://trim(dail_keys)
DMEAN_A_CLOSED_PY,Daily mean - Minimum assimilation rate,umol/m2/s,npolygons,cgrid%dmean_a_closed,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_A_CLOSED_PY        :11://trim(dail_keys)
DMEAN_A_NET_PY,Daily mean - Actual assimilation rate,umol/m2/s,npolygons,cgrid%dmean_a_net,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_A_NET_PY          :11://trim(dail_keys)
DMEAN_A_LIGHT_PY,Daily mean - Light-limited assimilation rate,umol/m2/s,npolygons,cgrid%dmean_a_light,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_A_LIGHT_PY          :11://trim(dail_keys)
DMEAN_A_RUBP_PY,Daily mean - RuBP-limited assimilation rate,umol/m2/s,npolygons,cgrid%dmean_a_rubp,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_A_RUBP_PY          :11://trim(dail_keys)
DMEAN_A_CO2_PY,Daily mean - CO2-limited assimilation rate,umol/m2/s,npolygons,cgrid%dmean_a_co2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_A_CO2_PY          :11://trim(dail_keys)
DMEAN_PSI_OPEN_PY,Daily mean - Transpiration with no stress,kg/m2/s,npolygons,cgrid%dmean_psi_open,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_PSI_OPEN_PY          :11://trim(dail_keys)
DMEAN_PSI_CLOSED_PY,Daily mean - Transpiration at maximum stress,kg/m2/s,npolygons,cgrid%dmean_psi_closed,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_PSI_CLOSED_PY        :11://trim(dail_keys)
DMEAN_WATER_SUPPLY_PY,Daily mean - Water supply,kg/m2/s,npolygons,cgrid%dmean_water_supply,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_WATER_SUPPLY_PY      :11://trim(dail_keys)
DMEAN_PAR_L_PY,Daily mean - PAR absorbed by leaves,W/m2,npolygons,cgrid%dmean_par_l,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_PAR_L_PY             :11://trim(dail_keys)
DMEAN_PAR_L_BEAM_PY,Daily mean - Direct PAR absorbed by leaves,W/m2,npolygons,cgrid%dmean_par_l_beam,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_PAR_L_BEAM_PY        :11://trim(dail_keys)
DMEAN_PAR_L_DIFF_PY,Daily mean - Diffuse PAR absorbed by leaves,W/m2,npolygons,cgrid%dmean_par_l_diff,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_PAR_L_DIFF_PY        :11://trim(dail_keys)
DMEAN_RSHORT_L_PY,Daily mean - Shortwave radiation absorbed by leaves,W/m2,npolygons,cgrid%dmean_rshort_l,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_RSHORT_L_PY          :11://trim(dail_keys)
DMEAN_RLONG_L_PY,Daily mean - Longwave radiation absorbed by leaves,W/m2,npolygons,cgrid%dmean_rlong_l,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_RLONG_L_PY           :11://trim(dail_keys)
DMEAN_SENSIBLE_LC_PY,Daily mean - Sensible heat,W/m2,npolygons,cgrid%dmean_sensible_lc,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_SENSIBLE_LC_PY       :11://trim(dail_keys)
DMEAN_VAPOR_LC_PY,Daily mean - Leaf evaporation,kg/m2/s,npolygons,cgrid%dmean_vapor_lc,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_VAPOR_LC_PY          :11://trim(dail_keys)
DMEAN_TRANSP_PY,Daily mean - Leaf transpiration,kg/m2/s,npolygons,cgrid%dmean_transp,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_TRANSP_PY            :11://trim(dail_keys)
DMEAN_WFLUX_WL_PY,Daily mean - Internal water flux (wood-leaf),kg/m2/s,npolygons,cgrid%dmean_wflux_wl,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_WFLUX_WL_PY          :11://trim(dail_keys)
DMEAN_WFLUX_GW_PY,Daily mean - Water flux (ground-wood),kg/m2/s,npolygons,cgrid%dmean_wflux_gw,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_WFLUX_GW_PY          :11://trim(dail_keys)
DMEAN_INTERCEPTED_AL_PY,Daily mean - Leaf interception,kg/m2/s,npolygons,cgrid%dmean_intercepted_al,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_INTERCEPTED_AL_PY    :11://trim(dail_keys)
DMEAN_WSHED_LG_PY,Daily mean - Leaf shedding,kg/m2/s,npolygons,cgrid%dmean_wshed_lg,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_WSHED_LG_PY          :11://trim(dail_keys)
DMEAN_RSHORT_W_PY,Daily mean - Shortwave radiation absorbed by wood,W/m2,npolygons,cgrid%dmean_rshort_w,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_RSHORT_W_PY          :11://trim(dail_keys)
DMEAN_RLONG_W_PY,Daily mean - Longwave radiation absorbed by wood,W/m2,npolygons,cgrid%dmean_rlong_w,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_RLONG_W_PY           :11://trim(dail_keys)
DMEAN_SENSIBLE_WC_PY,Daily mean - Sensible heat,W/m2,npolygons,cgrid%dmean_sensible_wc,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_SENSIBLE_WC_PY       :11://trim(dail_keys)
DMEAN_VAPOR_WC_PY,Daily mean - Wood evaporation,kg/m2/s,npolygons,cgrid%dmean_vapor_wc,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_VAPOR_WC_PY          :11://trim(dail_keys)
DMEAN_INTERCEPTED_AW_PY,Daily mean - Wood interception,kg/m2/s,npolygons,cgrid%dmean_intercepted_aw,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_INTERCEPTED_AW_PY    :11://trim(dail_keys)
DMEAN_WSHED_WG_PY,Daily mean - Wood shedding,kg/m2/s,npolygons,cgrid%dmean_wshed_wg,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_WSHED_WG_PY          :11://trim(dail_keys)
DMEAN_RH_PY,Daily mean - Heterotrophic respiration,kg/m2/yr,npolygons,cgrid%dmean_rh,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_RH_PY                :11://trim(dail_keys)
DMEAN_FGC_RH_PY,Daily mean - Fast ground carbon (litter) respiration,kg/m2/yr,npolygons,cgrid%dmean_fgc_rh,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_FGC_RH_PY            :11://trim(dail_keys)
DMEAN_FSC_RH_PY,Daily mean - Fast soil carbon (litter) respiration,kg/m2/yr,npolygons,cgrid%dmean_fsc_rh,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_FSC_RH_PY            :11://trim(dail_keys)
DMEAN_STGC_RH_PY,Daily mean - Struct. ground carbon (w.debr.) respiration,kg/m2/yr,npolygons,cgrid%dmean_stgc_rh,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_STGC_RH_PY            :11://trim(dail_keys)
DMEAN_STSC_RH_PY,Daily mean - Struct. soil carbon (w.debr.) respiration,kg/m2/yr,npolygons,cgrid%dmean_stsc_rh,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_STSC_RH_PY            :11://trim(dail_keys)
DMEAN_MSC_RH_PY,Daily mean - Microbial soil carbon respiration,kg/m2/yr,npolygons,cgrid%dmean_msc_rh,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_MSC_RH_PY            :11://trim(dail_keys)
DMEAN_SSC_RH_PY,Daily mean - Slow (humified) soil carbon respiration,kg/m2/yr,npolygons,cgrid%dmean_ssc_rh,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_SSC_RH_PY            :11://trim(dail_keys)
DMEAN_PSC_RH_PY,Daily mean - Passive soil carbon respiration,kg/m2/yr,npolygons,cgrid%dmean_psc_rh,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_PSC_RH_PY            :11://trim(dail_keys)
DMEAN_NEP_PY,Daily mean - Net Ecosystem productivity,kg/m2/yr,npolygons,cgrid%dmean_nep,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_NEP_PY               :11://trim(dail_keys)
DMEAN_RK4STEP_PY,Daily mean - RK4 time step,s,npolygons,cgrid%dmean_rk4step,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_RK4STEP_PY           :11://trim(dail_keys)
DMEAN_AVAILABLE_WATER_PY,Daily mean - Available water,kg/m2,npolygons,cgrid%dmean_available_water,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_AVAILABLE_WATER_PY   :11://trim(dail_keys)
DMEAN_VEG_DISPLACE_PY,Daily mean - Vegetation Displacement Height,m,npolygons,cgrid%dmean_veg_displace,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_VEG_DISPLACE_PY    :11://trim(dail_keys)
DMEAN_ROUGH_PY,Daily mean - Roughness Height,m,npolygons,cgrid%dmean_rough,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_ROUGH_PY    :11://trim(dail_keys)
DMEAN_CAN_THEIV_PY,Daily mean - Ice-vapour equiv. pot. temperature - CAS,K,npolygons,cgrid%dmean_can_theiv,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_CAN_THEIV_PY         :11://trim(dail_keys)
DMEAN_CAN_THETA_PY,Daily mean - Potential temperature - CAS,K,npolygons,cgrid%dmean_can_theta,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_CAN_THETA_PY         :11://trim(dail_keys)
DMEAN_CAN_VPDEF_PY,Daily mean - Vapour pressure deficit - CAS,Pa,npolygons,cgrid%dmean_can_vpdef,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_CAN_VPDEF_PY         :11://trim(dail_keys)
DMEAN_CAN_TEMP_PY,Daily mean - Temperature - CAS,K,npolygons,cgrid%dmean_can_temp,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_CAN_TEMP_PY          :11://trim(dail_keys)
DMEAN_CAN_SHV_PY,Daily mean - Specific humidity - CAS,kg/kg,npolygons,cgrid%dmean_can_shv,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_CAN_SHV_PY           :11://trim(dail_keys)
DMEAN_CAN_CO2_PY,Daily mean - CO2 mixing ratio - CAS,umol/mol,npolygons,cgrid%dmean_can_co2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_CAN_CO2_PY           :11://trim(dail_keys)
DMEAN_CAN_RHOS_PY,Daily mean - Air density - CAS,kg/m3,npolygons,cgrid%dmean_can_rhos,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_CAN_RHOS_PY          :11://trim(dail_keys)
DMEAN_CAN_DMOL_PY,Daily mean - Dry-air molar density - CAS,mol/m3,npolygons,cgrid%dmean_can_dmol,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_CAN_DMOL_PY          :11://trim(dail_keys)
DMEAN_CAN_PRSS_PY,Daily mean - Pressure - CAS,Pa,npolygons,cgrid%dmean_can_prss,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_CAN_PRSS_PY          :11://trim(dail_keys)
DMEAN_GND_TEMP_PY,Daily mean - Ground temperature,K,npolygons,cgrid%dmean_gnd_temp,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_GND_TEMP_PY          :11://trim(dail_keys)
DMEAN_GND_SHV_PY,Daily mean - Ground specific humidity,kg/kg,npolygons,cgrid%dmean_gnd_shv,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_GND_SHV_PY           :11://trim(dail_keys)
DMEAN_CAN_GGND_PY,Daily mean - Net canopy conductance,m/2,npolygons,cgrid%dmean_can_ggnd,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_CAN_GGND_PY          :11://trim(dail_keys)
DMEAN_SFCW_DEPTH_PY,Daily mean - Depth - temporary water layer,m,npolygons,cgrid%dmean_sfcw_depth,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_SFCW_DEPTH_PY        :11://trim(dail_keys)
DMEAN_SFCW_ENERGY_PY,Daily mean - Internal energy - temporary water layer,J/kg,npolygons,cgrid%dmean_sfcw_energy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_SFCW_ENERGY_PY       :11://trim(dail_keys)
DMEAN_SFCW_MASS_PY,Daily mean - Water mass - temporary water layer,kg/m2,npolygons,cgrid%dmean_sfcw_mass,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_SFCW_MASS_PY         :11://trim(dail_keys)
DMEAN_SFCW_TEMP_PY,Daily mean - Temperature - temporary water layer,K,npolygons,cgrid%dmean_sfcw_temp,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_SFCW_TEMP_PY         :11://trim(dail_keys)
DMEAN_SFCW_FLIQ_PY,Daily mean - Liquid fraction - temporary water layer,NA,npolygons,cgrid%dmean_sfcw_fliq,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_SFCW_FLIQ_PY         :11://trim(dail_keys)
DMEAN_RSHORT_GND_PY,Daily mean - Shortwave radiation absorbed by ground,W/m2,npolygons,cgrid%dmean_rshort_gnd,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_RSHORT_GND_PY        :11://trim(dail_keys)
DMEAN_PAR_GND_PY,Daily mean - PAR absorbed by ground,W/m2,npolygons,cgrid%dmean_par_gnd,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_PAR_GND_PY           :11://trim(dail_keys)
DMEAN_RLONG_GND_PY,Daily mean - Longwave radiation absorbed by ground,W/m2,npolygons,cgrid%dmean_rlong_gnd,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_RLONG_GND_PY         :11://trim(dail_keys)
DMEAN_RLONGUP_PY,Daily mean - Outgoing longwave radiation,W/m2,npolygons,cgrid%dmean_rlongup,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_RLONGUP_PY           :11://trim(dail_keys)
DMEAN_PARUP_PY,Daily mean - Outgoing PAR,W/m2,npolygons,cgrid%dmean_parup,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_PARUP_PY             :11://trim(dail_keys)
DMEAN_NIRUP_PY,Daily mean - Outgoing near infra-red radiation,W/m2,npolygons,cgrid%dmean_nirup,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_NIRUP_PY             :11://trim(dail_keys)
DMEAN_RSHORTUP_PY,Daily mean - Outgoing shortwave radiation,W/m2,npolygons,cgrid%dmean_rshortup,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_RSHORTUP_PY          :11://trim(dail_keys)
DMEAN_RNET_PY,Daily mean - Net radiation at top of canopy,W/m2,npolygons,cgrid%dmean_rnet,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_RNET_PY              :11://trim(dail_keys)
DMEAN_ALBEDO_PY,Daily mean - Albedo,NA,npolygons,cgrid%dmean_albedo,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_ALBEDO_PY            :11://trim(dail_keys)
DMEAN_ALBEDO_PAR_PY,Daily mean - Albedo - direct radiation,NA,npolygons,cgrid%dmean_albedo_par,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_ALBEDO_PAR_PY        :11://trim(dail_keys)
DMEAN_ALBEDO_NIR_PY,Daily mean - Albedo - diffuse radiation,NA,npolygons,cgrid%dmean_albedo_nir,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_ALBEDO_NIR_PY        :11://trim(dail_keys)
DMEAN_RLONG_ALBEDO_PY,Daily mean - Kind of albedo - longwave radiation,NA,npolygons,cgrid%dmean_rlong_albedo,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_RLONG_ALBEDO_PY      :11://trim(dail_keys)
DMEAN_USTAR_PY,Daily mean - Friction velocity,m/s,npolygons,cgrid%dmean_ustar,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_USTAR_PY             :11://trim(dail_keys)
DMEAN_TSTAR_PY,Daily mean - Gradient scale for potential temperature,K,npolygons,cgrid%dmean_tstar,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_TSTAR_PY             :11://trim(dail_keys)
DMEAN_QSTAR_PY,Daily mean - Gradient scale for specific humidity,kg/kg,npolygons,cgrid%dmean_qstar,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_QSTAR_PY             :11://trim(dail_keys)
DMEAN_CSTAR_PY,Daily mean - Gradient scale for CO2 mixing ratio,umol/mol,npolygons,cgrid%dmean_cstar,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_CSTAR_PY             :11://trim(dail_keys)
DMEAN_CARBON_AC_PY,Daily mean - CO2 flux: atmosphere -> CAS,umol/m2/s,npolygons,cgrid%dmean_carbon_ac,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_CARBON_AC_PY         :11://trim(dail_keys)
DMEAN_CARBON_ST_PY,Daily mean - CO2 storage at CAS,umol/m2/s,npolygons,cgrid%dmean_carbon_st,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_CARBON_ST_PY         :11://trim(dail_keys)
DMEAN_VAPOR_GC_PY,Daily mean - Water vapour flux: ground -> CAS,kg/m2/s,npolygons,cgrid%dmean_vapor_gc,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_VAPOR_GC_PY          :11://trim(dail_keys)
DMEAN_VAPOR_AC_PY,Daily mean - Water vapour flux: atmosphere -> CAS,kg/m2/s,npolygons,cgrid%dmean_vapor_ac,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_VAPOR_AC_PY          :11://trim(dail_keys)
DMEAN_THROUGHFALL_PY,Daily mean - Throughfall rate,kg/m2/s,npolygons,cgrid%dmean_throughfall,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_THROUGHFALL_PY       :11://trim(dail_keys)
DMEAN_RUNOFF_PY,Daily mean - Water runoff,kg/m2/s,npolygons,cgrid%dmean_runoff,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_RUNOFF_PY            :11://trim(dail_keys)
DMEAN_DRAINAGE_PY,Daily mean - Water drainage,kg/m2/s,npolygons,cgrid%dmean_drainage,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_DRAINAGE_PY          :11://trim(dail_keys)
DMEAN_SENSIBLE_GC_PY,Daily mean - Sensible heat flux: ground -> CAS,W/m2,npolygons,cgrid%dmean_sensible_gc,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_SENSIBLE_GC_PY       :11://trim(dail_keys)
DMEAN_SENSIBLE_AC_PY,Daily mean - Sensible heat flux: atmosphere -> CAS,W/m2,npolygons,cgrid%dmean_sensible_ac,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_SENSIBLE_AC_PY       :11://trim(dail_keys)
DMEAN_QTHROUGHFALL_PY,Daily mean - Throughfall rate,W/m2,npolygons,cgrid%dmean_qthroughfall,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,DMEAN_QTHROUGHFALL_PY      :11://trim(dail_keys)
